,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
40,18.137,41.174,2017-02-10 00:00:00,6903197,17.898,38.806,2017-01-17 00:00:00,6901863,26.466,32.916,2017-01-17 00:00:00,6901770
41,31.013,33.089,2017-02-11 00:00:00,6901773,26.466,32.916,2017-01-17 00:00:00,6901770,4.843,41.252,2017-01-18 00:00:00,6902688
42,10.578,40.704,2017-02-13 00:00:00,6901767,18.927,38.853,2017-01-18 00:00:00,6901862,16.899,34.835,2017-01-19 00:00:00,6903153
43,16.984,34.742,2017-02-13 00:00:00,6903153,17.598,36.718,2017-01-19 00:00:00,6901771,17.598,36.718,2017-01-19 00:00:00,6901771
44,16.764,41.565,2017-02-14 00:00:00,6903178,30.394,34.027,2017-01-19 00:00:00,6901764,30.394,34.027,2017-01-19 00:00:00,6901764
45,17.525,36.834,2017-02-16 00:00:00,6901771,7.758,42.015,2017-01-20 00:00:00,6902733,6.315,42.369,2017-01-20 00:00:00,6902687
46,30.518,34.308,2017-02-16 00:00:00,6901764,17.572,41.395,2017-01-21 00:00:00,6903197,7.758,42.015,2017-01-20 00:00:00,6902733
47,17.041,34.867,2017-02-18 00:00:00,6903153,21.38,36.595,2017-01-21 00:00:00,6901768,10.088,39.895,2017-01-21 00:00:00,6903180
48,31.0,33.101,2017-02-18 00:00:00,6901773,30.79,32.989,2017-01-21 00:00:00,6901773,17.572,41.395,2017-01-21 00:00:00,6903197
49,16.769,41.559,2017-02-19 00:00:00,6903178,4.46,42.795,2017-01-22 00:00:00,6901864,21.38,36.595,2017-01-21 00:00:00,6901768
50,9.955,39.377,2017-02-20 00:00:00,6903180,18.07,38.896,2017-01-22 00:00:00,6901863,30.79,32.989,2017-01-21 00:00:00,6901773
51,10.53,40.775,2017-02-20 00:00:00,6901767,29.596,33.927,2017-01-22 00:00:00,6901766,25.578,33.781,2017-01-22 00:00:00,6903204
52,26.741,33.199,2017-02-21 00:00:00,6901770,4.715,39.528,2017-01-23 00:00:00,6902732,4.859,41.177,2017-01-23 00:00:00,6902688
53,17.173,35.242,2017-02-23 00:00:00,6903153,10.378,40.664,2017-01-23 00:00:00,6901767,10.378,40.664,2017-01-23 00:00:00,6901767
54,17.655,36.837,2017-02-23 00:00:00,6901771,18.99,38.514,2017-01-23 00:00:00,6901862,23.505,34.245,2017-01-23 00:00:00,6901765
55,30.335,34.393,2017-02-23 00:00:00,6901764,23.505,34.245,2017-01-23 00:00:00,6901765,10.835,39.392,2017-01-24 00:00:00,6901769
56,16.776,41.556,2017-02-24 00:00:00,6903178,10.835,39.392,2017-01-24 00:00:00,6901769,16.826,34.74,2017-01-24 00:00:00,6903153
57,9.938,39.205,2017-02-25 00:00:00,6903180,26.593,33.009,2017-01-24 00:00:00,6901770,26.593,33.009,2017-01-24 00:00:00,6901770
