,lon,lat,time,name,ID
89,25.907,33.341,2019-01-19 00:00:00,6902898,6902898
90,26.824,34.239,2019-01-19 00:00:00,6903247,6903247
91,27.31,34.813,2019-01-19 00:00:00,6902900,6902900
92,34.066,33.129,2019-01-19 00:00:00,6901773,6901773
93,4.116,40.923,2019-01-20 00:00:00,6902803,6902803
94,6.537,39.603,2019-01-20 00:00:00,6901774,6901774
95,7.089,40.015,2019-01-20 00:00:00,6902804,6902804
96,28.765,35.012,2019-01-20 00:00:00,6902902,6902902
97,7.199,42.949,2019-01-21 00:00:00,6902901,6902901
98,21.507,36.29,2019-01-21 00:00:00,6901772,6901772
99,28.549,34.023,2019-01-21 00:00:00,6901764,6901764
100,10.126,40.234,2019-01-22 00:00:00,6903238,6903238
101,15.485,35.973,2019-01-22 00:00:00,6902826,6902826
102,17.874,41.942,2019-01-22 00:00:00,6903250,6903250
103,17.939,35.012,2019-01-22 00:00:00,6903237,6903237
104,25.895,33.31,2019-01-22 00:00:00,6902898,6902898
105,27.295,34.827,2019-01-22 00:00:00,6902900,6902900
106,7.445,39.82,2019-01-23 00:00:00,6901657,6901657
107,15.529,37.203,2019-01-23 00:00:00,6901862,6901862
108,17.411,39.225,2019-01-23 00:00:00,6903249,6903249
109,23.78,39.511,2019-01-23 00:00:00,6903283,6903283
110,7.161,42.921,2019-01-24 00:00:00,6902901,6902901
111,26.912,34.188,2019-01-24 00:00:00,6903247,6903247
112,28.571,34.057,2019-01-24 00:00:00,6901764,6901764
113,4.046,41.04,2019-01-25 00:00:00,6902803,6902803
114,7.036,40.053,2019-01-25 00:00:00,6902804,6902804
115,12.661,39.262,2019-01-25 00:00:00,6902903,6902903
116,23.319,34.635,2019-01-25 00:00:00,6901775,6901775
117,25.928,33.28,2019-01-25 00:00:00,6902898,6902898
118,27.355,34.797,2019-01-25 00:00:00,6902900,6902900
119,28.8,35.187,2019-01-25 00:00:00,6902904,6902904
120,34.109,33.213,2019-01-26 00:00:00,6901773,6901773
121,6.331,39.324,2019-01-27 00:00:00,6901774,6901774
122,7.153,42.894,2019-01-27 00:00:00,6902901,6902901
123,17.654,42.022,2019-01-27 00:00:00,6903250,6903250
124,17.865,34.914,2019-01-27 00:00:00,6903237,6903237
125,28.581,34.075,2019-01-27 00:00:00,6901764,6901764
126,28.818,35.186,2019-01-27 00:00:00,6902904,6902904
127,28.819,35.046,2019-01-27 00:00:00,6902902,6902902
128,15.577,37.012,2019-01-28 00:00:00,6901862,6901862
129,17.34,38.926,2019-01-28 00:00:00,6903249,6903249
130,21.499,36.404,2019-01-28 00:00:00,6901772,6901772
131,25.986,33.244,2019-01-28 00:00:00,6902898,6902898
132,27.36,34.774,2019-01-28 00:00:00,6902900,6902900
133,26.833,34.164,2019-01-29 00:00:00,6903247,6903247
134,27.559,35.097,2019-01-29 00:00:00,6902872,6902872
135,4.012,40.85,2019-01-30 00:00:00,6902803,6902803
136,6.952,40.105,2019-01-30 00:00:00,6902804,6902804
137,7.212,42.826,2019-01-30 00:00:00,6902901,6902901
138,7.367,39.814,2019-01-30 00:00:00,6901657,6901657
139,28.537,34.095,2019-01-30 00:00:00,6901764,6901764
140,28.83,35.175,2019-01-30 00:00:00,6902904,6902904
141,28.841,35.05,2019-01-30 00:00:00,6902902,6902902
142,26.07,33.246,2019-01-31 00:00:00,6902898,6902898
143,27.349,34.78,2019-01-31 00:00:00,6902900,6902900
144,12.638,39.262,2019-02-01 00:00:00,6902903,6902903
145,17.65,41.709,2019-02-01 00:00:00,6903250,6903250
146,17.837,34.849,2019-02-01 00:00:00,6903237,6903237
147,23.291,34.658,2019-02-01 00:00:00,6901775,6901775
148,7.28,42.718,2019-02-02 00:00:00,6902901,6902901
149,15.621,36.898,2019-02-02 00:00:00,6901862,6901862
150,17.084,38.553,2019-02-02 00:00:00,6903249,6903249
151,23.729,39.254,2019-02-02 00:00:00,6903283,6903283
152,28.861,35.084,2019-02-02 00:00:00,6902902,6902902
153,28.876,35.173,2019-02-02 00:00:00,6902904,6902904
154,34.286,33.318,2019-02-02 00:00:00,6901773,6901773
155,6.049,39.219,2019-02-03 00:00:00,6901774,6901774
156,26.097,33.279,2019-02-03 00:00:00,6902898,6902898
157,26.677,34.232,2019-02-03 00:00:00,6903247,6903247
158,27.377,34.808,2019-02-03 00:00:00,6902900,6902900
159,3.927,40.699,2019-02-04 00:00:00,6902803,6902803
160,6.875,40.139,2019-02-04 00:00:00,6902804,6902804
161,21.388,36.462,2019-02-04 00:00:00,6901772,6901772
162,27.579,35.215,2019-02-04 00:00:00,6902872,6902872
163,7.376,42.635,2019-02-05 00:00:00,6902901,6902901
164,28.394,34.045,2019-02-05 00:00:00,6901764,6901764
165,28.897,35.133,2019-02-05 00:00:00,6902902,6902902
166,28.911,35.194,2019-02-05 00:00:00,6902904,6902904
167,7.348,39.787,2019-02-06 00:00:00,6901657,6901657
168,17.636,41.621,2019-02-06 00:00:00,6903250,6903250
169,17.826,34.747,2019-02-06 00:00:00,6903237,6903237
170,26.031,33.314,2019-02-06 00:00:00,6902898,6902898
171,27.365,34.843,2019-02-06 00:00:00,6902900,6902900
172,15.62,36.765,2019-02-07 00:00:00,6901862,6901862
173,16.627,38.193,2019-02-07 00:00:00,6903249,6903249
174,23.752,39.283,2019-02-07 00:00:00,6903283,6903283
175,7.516,42.551,2019-02-08 00:00:00,6902901,6902901
176,12.62,39.251,2019-02-08 00:00:00,6902903,6902903
177,23.3,34.644,2019-02-08 00:00:00,6901775,6901775
178,26.554,34.339,2019-02-08 00:00:00,6903247,6903247
179,27.382,35.279,2019-02-08 00:00:00,6902872,6902872
180,28.276,34.029,2019-02-08 00:00:00,6901764,6901764
181,28.866,35.206,2019-02-08 00:00:00,6902904,6902904
